№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
463,217,217123,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа с. Комсомольское Краснокутского района Саратовской области,МОУ -СОШ с. Комсомольское Краснокутского района  Саратовской области,
464,217,217133,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа с.Дьяковка Краснокутского района Саратовской области,МОУ-СОШ с.Дьяковка Краснокутского района  Саратовской области,
465,217,217153,Муниципальное общеобразовательное учреждение - средняя общеобразовательная школа с.Карпенка Краснокутского района Саратовской области,МОУ-СОШ с.Карпенка Краснокутского района Саратовской области,
466,218,218000,отдел образования администрации Краснопартизанского муниципального района Саратовской области,отдел образования администрации Краснопартизанского муниципального района,
467,218,218010,муниципальное учреждение дополнительного образования «Районный дом детского творчества р.п. Горный Краснопартизанского района Саратовской области»,МУДО «РДДТ р. п. Горный»,
468,218,218011,Муниципальное дошкольное образовательное учреждение детский сад № 1 «Родничок» п. Горный Краснопартизанского района Саратовской области,"МДОУ д/с № 1 «Родничок» 
п. Горный",
469,218,218021,Муниципальное дошкольное образовательное учреждение детский сад № 2 «Малыш» п. Горный Краснопартизанского района Саратовской области,"МДОУ д/с №2 «Малыш» 
п. Горный",
470,218,218041,Муниципальное дошкольное образовательное учреждение детский сад № 6 «Солнышко» п. Петровский Краснопартизанского района Саратовской области,"МДОУ д/с № 6 «Солнышко» 
п. Петровский",
471,218,218101,"Муниципальное дошкольное образовательное учреждение детский сад 
№ 13 «Ручеёк» с.Толстовка Краснопартизанского района Саратовской области",МДОУ д/с № 13 «Ручеёк» с.Толстовка,
472,218,218023,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с.Сулак Краснопартизанского района Саратовской области имени Героя Советского Союза Иванова Ивана Сергеевича» ,МОУ «СОШ с.Сулак»,
473,218,218033,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Горный Краснопартизанского района Саратовской области»,МОУ «СОШ п.Горный»,
474,218,218043,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с.Милорадовка Краснопартизанского района Саратовской области»,МОУ «СОШ с. Милорадовка»,
475,218,218063,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п.Римско-Корсаковка Краснопартизанского  района Саратовской области» имени Героя Советского Союза Киреева Виктора Ивановича,МОУ «СОШ п.Римско-Корсаковка»,
476,218,218073,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п.Петровский Краснопартизанского района Саратовской области»,МОУ «СОШ п.Петровский»,
477,219,219000,Управление образования администрации Лысогорского муниципального района Саратовской области,Управление образования администрации Лысогорского МР Саратовской области,
478,219,219010,муниципальное бюджетное учреждение дополнительного образования «Центр дополнительного образования для детей» р.п. Лысые Горы Саратовской области,МБУДО ЦДОД,
479,219,219020,Муниципальное бюджетное учреждение дополнительного образования «Лысогорская детская школа искусств» ,МБУ ДО «Лысогорская ДШИ»,
480,219,219011,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад «Берёзка» р. п. Лысые Горы Лысогорского района Саратовской области,"МБДОУ - д/с «Берёзка» 
р. п. Лысые Горы",
481,219,219021,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад «Радуга» р.п. Лысые Горы Лысогорского района Саратовской области,"МБДОУ - д/сад «Радуга» 
р.п. Лысые Горы",
482,219,219081,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад «Золотой Петушок» села Бутырки Лысогорского района Саратовской области,МБДОУ - д/сад «Золотой Петушок» с.Бутырки ,
483,219,219121,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад «Малыш» села Новая Красавка Лысогорского района Саратовской области,"МБДОУ - д/с «Малыш» 
с. Новая Красавка",
484,219,219171,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад «Колокольчик» села Широкий Карамыш Лысогорского района Саратовской области,"МБДОУ - д/сад «Колокольчик» 
с. Широкий Карамыш",
485,219,219013,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №1 р. п. Лысые Горы Саратовской области»,"МБОУ «Средняя общеобразовательная школа №1
 р.п. Лысые Горы»",
486,219,219023,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2 р.п. Лысые Горы Саратовской области»,МБОУ «СОШ № 2 р.п. Лысые Горы Саратовской области»,
487,219,219103,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа с. Невежкино Лысогорского района Саратовской области»,МБОУ «СОШ с. Невежкино»,
488,220,220000,Комитет образования администрации Марксовского муниципального района Саратовской области,Комитет образования администрации ММР ,
489,220,220010,Муниципальное учреждение дополнительного образования - Центр внешкольной работы г. Маркса Саратовской области,МУ ДО -ЦВР г.Маркса ,
490,220,220020,Муниципальное учреждение дополнительного образования Детская школа искусств №1 г. Маркса Саратовской области,МУДО ДШИ №1 г. Маркса ,
491,220,220030,Муниципальное учреждение дополнительного образования - Детская школа искусств № 2 г. Маркса Саратовской области,МУ ДО ДШИ № 2 г. Маркса ,
492,220,220061,муниципальное дошкольное образовательное учреждение «Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно - эстетическому развитию детей №14» г. Маркса Саратовской области,МДОУ - д/с № 14 г. Маркса,
493,220,220071,муниципальное дошкольное образовательное учреждение Центр развития ребёнка - детский сад № 15 г. Маркса Саратовской области,МДОУ ЦРР - д/с № 15 г.Маркса,
494,220,220091,"Муниципальное дошкольное образовательное учреждение - детский сад 
№ 19 с. Подлесное Марксовского района Саратовской области",МДОУ - д/с №19 с. Подлесное Марсовского района Саратовской области,
495,220,220101,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Баскатовка Марксовского района Саратовской области ",МДОУ - д/с с. Баскатовка Марксовского района Саратовской области,
496,220,220111,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Бобровка Марксовского района Саратовской области",МДОУ - д/с с. Бобровка Марксовского района ,
497,220,220121,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Бородаевка Марксовского района Саратовской области",МДОУ -д/с с. Бородаевка Марксовского района Саратовской области,
498,220,220141,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Звонаревка Марксовского района Саратовской области",МДОУ - д/с с.Звонаревка Марксовского района Саратовской области,
499,220,220151,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Зоркино Марксовского района Саратовской области",МДОУ - д/с с. Зоркино Марксовского района Саратовской области,
500,220,220161,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Липовка Марксовского района Саратовской области",МДОУ - д/с с. Липовка Марксовского района Саратовской области,
501,220,220171,"Муниципальное дошкольное образовательное учреждение - детский сад 
с.Калининское Марксовского района Саратовской области","МДОУ - д/с с. Калининское, Марксовского района Саратовской области",
502,220,220181,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Каменка Марксовского района Саратовской области",МДОУ - д/с с. Каменка Марксовского р-на,
503,220,220191,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Караман Марксовского района Саратовской области",МДОУ - д/с с. Караман Марксовского района Саратовской области,
504,220,220201,Муниципальное бюджетное дошкольное образовательное учреждение - детский сад с. Кировское Марксовского района Саратовской области,МБДОУ - д/с с. Кировское Марксовского района ,
505,220,220211,"Муниципальное дошкольное образовательное учреждение - детский сад 
п. Колос Марксовского района Саратовской области",МДОУ - д/с п. Колос Марксовского района Саратовской области,
506,220,220221,"Муниципальное дошкольное образовательное учреждение - детский сад 
с.Орловское Марксовского района Саратовской области",МДОУ - д/с с.Орловское Марксовского района Саратовской области,
507,220,220241,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Павловка Марксовского района Саратовской области",МДОУ - д/с с. Павловка Марксовского района Саратовской области,
508,220,220251,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Полековское Марксовского района Саратовской области",МДОУ - д/с с. Полековское Марксовского района  Саратовской области,
509,220,220261,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Приволжское Марксовского района Саратовской области",МДОУ д/с с. Приволжское Марксовского района Саратовской области,
510,220,220271,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Раскатово Марксовского района Саратовской области",МДОУ - д/с с. Раскатово Марксовского района ,
511,220,220281,"Муниципальное дошкольное образовательное учреждение - детский сад 
с. Ястребовка Марксовского района Саратовской области",МДОУ - д/с с. Ястребовка Марксовского района Саратовской области,
512,220,220013,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа №1 г. Маркса Саратовской области,МОУ-СОШ №1 г. Маркса Саратовской области,
513,220,220023,"Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа № 3 г. Маркса Саратовской области 
им. Л.Г. Венедиктовой",МОУ-СОШ № 3 г.Маркса,
514,220,220033,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа № 4 г. Маркса Саратовской области ,МОУ-СОШ № 4 г.Маркса,
515,220,220043,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа № 6 г. Маркса Саратовской области ,МОУ-СОШ № 6 г. Маркса,
516,220,220053,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Баскатовка Марксовского района Саратовской области,МОУ - СОШ с. Баскатовка Марксовского района ,
517,220,220063,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Звонаревка Марксовского района Саратовской области,МОУ - СОШ с. Звонаревка Марксовского района ,
518,220,220073,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Зоркино Марксовского района Саратовской области,МОУ-СОШ с. Зоркино Марксовского района ,
519,220,220093,муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Каменка Марксовского района Саратовской области,МОУ - СОШ с. Каменка Марксовского района ,
520,220,220103,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Кировское Марксовского района Саратовской области,МОУ - СОШ с. Кировское Марксовского района ,
521,220,220113,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа п. Колос Марксовского района Саратовской области,МОУ-СОШ п. Колос Марксовского района ,
522,220,220123,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Липовка Марксовского района Саратовской области,МОУ-СОШ с. Липовка Марксовского района Саратовской области,
523,220,220133,"Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Орловское Марксовского района Саратовской области имени Героя Советского Союза Венцова В.К. 
(Венцеля В.К.)",МОУ-СОШ с. Орловское Марксовского района ,
524,220,220143,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа п.Осиновский Марксовского района Саратовской области,МОУ-СОШ п.Осиновский Марксовского района Саратовской области,
525,220,220153,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Павловка Марксовского района Саратовской области,МОУ-СОШ с.Павловка Марксовского района ,
526,220,220163,Муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Подлесное Марксовского района Саратовской области им. Ю.В. Фисенко,"МОУ-СОШ с. Подлесное 
Марксовского р-на ",
527,220,220183,муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Приволжское Марксовского района Саратовской области,МОУ-СОШ с. Приволжское Марксовского района ,
528,220,220193,муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Раскатово Марксовского района Саратовской области,МОУ-СОШ с. Раскатово Марксовского района ,
529,220,220014,муниципальное общеобразовательное учреждение – средняя общеобразовательная школа с. Березовка Марксовского района Саратовской области,МОУ - СОШ с. Березовка Марксовского района Саратовской области,
530,220,220024,муниципальное общеобразовательное учреждение – основная общеобразовательная школа с. Бородаевка Марксовского района Саратовской области,МОУ-ООШ с. Бородаевка Марксовского района Саратовской области,
531,220,220034,Муниципальное общеобразовательное учреждение – основная общеобразовательная школа п. Водопьяновка Марксовского района Саратовской области,МОУ-ООШ п.Водопьяновка Марксовского района Саратовской области,
532,220,220064,Муниципальное общеобразовательное учреждение – основная общеобразовательная школа с.Караман Марксовского района Саратовской области,МОУ-ООШ с.Караман Марксовского района ,
533,220,220016,Муниципальное общеобразовательное учреждение – Лицей г. Маркса Саратовской области,МОУ – Лицей г.Маркса ,
534,221,221000,Управление образования администрации Новобурасского муниципального района Саратовской области,Управление образования администрации Новобурасского муниципального района,
535,221,221010,муниципальное учреждение «Информационно­методический центр управления образования администрации Новобурасского муниципального района Саратовской области»,МУ «Информационно-методический центр управления образования»,
536,221,221020,Муниципальное учреждение дополнительного образования «Центр развития дополнительного образования р.п. Новые Бурасы Новобурасского района Саратовской области»,Центр развития дополнительного образования р.п. Новые Бурасы,
537,221,221030,Муниципальное бюджетное учреждение дополнительного образования  «Детская школа искусств р.п. Новые Бурасы Саратовской области»,МБУДО «ДШИ р.п. Новые Бурасы»,
538,221,221031,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 2 р.п.Новые Бурасы Новобурасского района Саратовской области»",МДОУ «Детский сад №2 р.п.Новые Бурасы»,
539,221,221041,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 2 с. Тепловка Новобурасского района Саратовской области»","МДОУ «Детский сад № 2 
с. Тепловка»",
540,221,221051,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№3 р.п.Новые Бурасы Новобурасского района Саратовской области»","МДОУ «Детский сад №3 
р.п. Новые Бурасы»",
541,221,221061,"Муниципальное дошкольное образовательное учреждение «Детский сад 
с. Аряш Новобурасского района Саратовской области»",МДОУ «Детский сад с. Аряш»,
542,221,221071,"Муниципальное дошкольное образовательное учреждение «Детский сад 
п. Белоярский Новобурасского района Саратовской области»","МДОУ «Детский сад 
п. Белоярский»",
543,221,221081,"Муниципальное дошкольное образовательное учреждение «Детский сад 
п. Бурасы Новобурасского района Саратовской области»",МДОУ «Детский сад п. Бурасы»,
544,221,221101,"Муниципальное дошкольное образовательное учреждение «Детский сад 
п. Динамовский Новобурасского района Саратовской области»","МДОУ «Детский сад 
п. Динамовский»",
545,221,221121,"Муниципальное дошкольное образовательное учреждение «Детский сад 
с. Ириновка Новобурасского района Саратовской области»",МДОУ «Детский сад с. Ириновка»,
546,221,221131,"Муниципальное дошкольное образовательное учреждение «Детский сад 
с. Кутьино Новобурасского района Саратовской области»",МДОУ «Детский сад с. Кутьино»,
547,221,221141,"Муниципальное дошкольное образовательное учреждение «Детский сад 
с. Леляевка Новобурасского района Саратовской области»",МДОУ «Детский сад с.Леляевка» ,
548,221,221151,"Муниципальное дошкольное образовательное учреждение «Детский сад 
с. Лох Новобурасского района Саратовской области»",МДОУ «Детский сад с. Лох»,
549,221,221161,Муниципальное дошкольное образовательное учреждение «Детский сад с.Марьино-Лашмино Новобурасского района Саратовской области»,МДОУ «Детский сад с.Марьино-Лашмино»,
550,221,221181,Муниципальное дошкольное образовательное учреждение «Детский сад «Берёзка» р.п. Новые Бурасы Новобурасского района Саратовской области»,"МДОУ «Детский сад «Берёзка» 
р.п. Новые Бурасы»",
551,221,221191,"Муниципальное дошкольное образовательное учреждение «Детский сад 
с. Чернышевка Новобурасского района Саратовской области»","МДОУ «Детский сад 
с. Чернышевка»",
552,221,221013,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 1 р.п. Новые Бурасы Новобурасского района Саратовской области»,МОУ «СОШ № 1 р.п. Новые Бурасы»,
553,221,221023,"Муниципальное общеобразовательное учреждение «Школа № 2
р.п. Новые Бурасы Новобурасского района Саратовской области имени Героя Советского Союза М.С.Бочкарева»",МОУ «Школа № 2 р.п. Новые Бурасы»,
554,221,221033,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Аряш Новобурасского района Саратовской области»,МОУ «СОШ с.Аряш»,
555,221,221043,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Белоярский Новобурасского района Саратовской области имени Бабушкина А.М.»,МОУ «СОШ п.Белоярский имени Бабушкина А.М.»,
556,221,221073,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа п. Динамовский Новобурасского района Саратовской области»,МОУ «СОШ п. Динамовский»,
557,221,221113,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа с. Леляевка Новобурасского района Саратовской области имени полного кавалера Ордена Славы Кликушина Александра Павловича»,МОУ «СОШ с. Леляевка»,
558,221,221123,Муниципальное общеобразовательное учреждение «Школа с. Лох Новобурасского района Саратовской области имени Героя Советского Союза В.И. Загороднева»,МОУ «Школа с. Лох»,
559,221,221143,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа «Созвездие» с. Тепловка Новобурасского района Саратовской области»,"МОУ «СОШ «Созвездие» 
с. Тепловка»",
560,222,222000,Управление образования администрации Новоузенского муниципального района Саратовской области,Управление образования ,
561,222,222010,муниципальное учреждение дополнительного образования «Дом детского творчества» г. Новоузенска Саратовской области,МУ ДО ДДТ,
562,222,222020,Муниципальное бюджетное учреждение дополнительного образования «Cпортивная школа города  Новоузенска Саратовской области»,МБУ ДО «Новоузенская СШ»,
563,222,222011,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 1 «Ручеек» г. Новоузенска Саратовской области»","МДОУ «Детский сад № 1 «Ручеек»
г. Новоузенска Саратовской области»",
564,222,222021,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 3 «Радуга» города Новоузенска Саратовской области»",МДОУ «Детский сад № 3 «Радуга» города Новоузенска Саратовской области»,
565,222,222031,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 4 «Дружба» г. Новоузенска Саратовской области»","МДОУ «Детский сад № 4 «Дружба» 
г. Новоузенска Саратовской области»",
566,222,222041,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 5 «Колосок» г. Новоузенска Саратовской области»","МДОУ «Детский сад № 5 «Колосок» 
г. Новоузенска Саратовской области»",
567,222,222051,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 6 «Солнышко» г.Новоузенска Саратовской области»",МДОУ «Детский сад № 6 «Солнышко» г.Новоузенска Саратовской области»,
568,222,222061,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 7 «Березка» г. Новоузенска Саратовской области»",МДОУ «Детский сад № 7 «Березка» г. Новоузенска Саратовской области»,
569,222,222071,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 9 «Тополек» п. Радищево Новоузенского района Саратовской области»",МДОУ «Детский сад № 9 «Тополек» п. Радищево Новоузенского района Саратовской области»,
570,222,222081,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 10 «Ромашка» п. Алгайский Новоузенского района Саратовской области»",МДОУ «Детский сад № 10 «Ромашка» п. Алгайский Новоузенского района Саратовской области»,
571,222,222091,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 12 «Колосок» с. Петропавловка Новоузенского района Саратовской области»",МДОУ «Детский сад № 12 «Колосок» с. Петропавловка Новоузенского района Саратовской области»,
572,222,222101,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 13 «Дюймовочка» п. Узенский Новоузенского района Саратовской области»",МДОУ «Детский сад № 13 «Дюймовочка» п. Узенский Новоузенского района Саратовской области»,
573,222,222111,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 14 «Малыш» п. Мирный Новоузенского района Саратовской области»",МДОУ «Детский сад № 14 «Малыш» п. Мирный Новоузенского района Саратовской области»,
574,222,222121,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 17 «Колосок» с.Дмитриевка Новоузенского района Саратовской области»",МДОУ «Детский сад № 17 «Колосок» с.Дмитриевка Новоузенского района Саратовской области»,
575,222,222131,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 19 «Капелька» с.Куриловка Новоузенского района Саратовской области»",МДОУ «Детский сад № 19 «Капелька» с. Куриловка Новоузенского района Саратовской области»,
576,222,222141,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 20 «Солнышко» с.Куриловка Новоузенского района Саратовской области»",МДОУ «Детский сад № 20 «Солнышко» с.Куриловка Новоузенского района Саратовской области»,
577,222,222151,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 21 «Колосок» с. Куриловка Новоузенского района Саратовской области»",МДОУ «Детский сад № 21 «Колосок» с. Куриловка Новоузенского района Саратовской области»,
578,222,222161,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 22 «Малышок» п. Ближний Новоузенского района Саратовской области»",МДОУ «Детский сад № 22 «Малышок» п. Ближний Новоузенского района Саратовской области»,
579,222,222181,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 24 «Солнышко» с.Олоновка Новоузенского района Саратовской области»",МДОУ «Детский сад № 24 «Солнышко» с.Олоновка Новоузенского района Саратовской области»,
580,222,222191,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 25 «Сказка» с.Бессоновка Новоузенского района Саратовской области»",МДОУ «Детский сад № 25 «Сказка» с.Бессоновка Новоузенского района Саратовской области»,
581,222,222211,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 27 «Улыбка» с. Пограничное, Новоузенского района, Саратовской области»","МДОУ «Детский сад № 27 «Улыбка» с. Пограничное, Новоузенского района, Саратовской области»",
582,222,222221,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 28 «Солнышко» п. Дюрский Новоузенского района Саратовской области»",МДОУ «Детский сад № 28 «Солнышко» п. Дюрский Новоузенского района Саратовской области»,
583,222,222241,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 30 «Ручеек» п. Чилижный Новоузенского района Саратовской области»",МДОУ «Детский сад № 30 «Ручеек» п. Чилижный Новоузенского района Саратовской области»,
584,222,222251,"Муниципальное дошкольное образовательное учреждение «Детский сад 
№ 31 «Ягодка» п. Основной Новоузенского района Саратовской области»",МДОУ «Детский сад № 31 «Ягодка» п. Основной Новоузенского района Саратовской области»,
585,222,222013,Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 1 г. Новоузенска Саратовской области»,МОУ «СОШ № 1 г. Новоузенска Саратовской области»,
586,222,222023,муниципальное общеобразовательное учреждение «средняя общеобразовательная школа п. Алгайский Новоузенского района Саратовской области»,МОУ «СОШ п. Алгайский Новоузенского района Саратовской области»,
587,222,222033,муниципальное общеобразовательное учреждение «средняя общеобразовательная школа № 4 г. Новоузенска Саратовской области»,МОУ «СОШ № 4 г. Новоузенска Саратовской области»,
588,222,222063,"муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа № 8 имени кавалера трех Орденов Славы 
В.И. Курова г. Новоузенска Саратовской области»","МОУ «СОШ №8 им. В.И. Курова 
г.Новоузенска Саратовской области»",
589,222,222093,муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа имени Героя Советского Союза Ф.Д.Глухова поселка Основной Новоузенского района Саратовской области»,МОУ «СОШ п. Основной Новоузенского района Саратовской области»,
