№,Код АТЕ,Код ОО,Наименование образовательной организации согласно Уставу образовательной организации ,Сокращенное наименование образовательной организации согласно Уставу образовательной организации  ,
81,205,205050,"Муниципальное автономное учреждение дополнительного образования ""Спортивная школа ""Юность""","МАУДО ""СШ ""Юность""",
82,205,205080,"Муниципальное автономное учреждение дополнительного образования ""Спортивная школа ""Балаково""","МАУДО ""СШ ""Балаково""",
83,205,205100,Муниципальное автономное учреждение дополнительного образования «Cпортивная школа «Турбина»,МАУДО  «СШ «Турбина»,
84,205,205110,муниципальное автономное учреждение дополнительного образования «Детская музыкальная школа № 1»,МАУДО «ДМШ № 1»,
85,205,205120,муниципальное автономное учреждение дополнительного образования «Детская школа искусств №1»,МАУДО «ДШИ №1»,
86,205,205130,муниципальное автономное учреждение дополнительного образования «Детская школа искусств №2 им. И.Я. Паницкого»,"МАУДО «ДШИ №2
им. И.Я. Паницкого»",
87,205,205140,муниципальное автономное учреждение дополнительного образования «Детская школа искусств №4»,МАУДО «ДШИ №4»,
88,205,205150,муниципальное автономное учреждение дополнительного образования  «Балаковская детская художественная школа им.В.И.Задорожного»,МАУДО «Балаковская ДХШ им.В.И.Задорожного»,
89,205,205160,Муниципальное автономное учреждение дополнительного образования «Cпортивная школа «Олимпик»,МАУДО  «СШ «Олимпик»,
90,205,205170,"Муниципальное автономное учреждение дополнительного образования ""Спортивная школа ""Альбатрос""","МАУ ДО ""СШ ""Альбатрос""",
91,205,205011,Муниципальное автономное дошкольное образовательное учреждение «Детский сад компенсирующего вида № 1» г. Балаково Саратовской области,МАДОУ детский сад № 1,
92,205,205021,Муниципальное автономное дошкольное образовательное учреждение - детский сад №1 села Натальино Балаковского района Саратовской области,МАДОУ с. Натальино,
93,205,205031,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 2 «Ласточка» г. Балаково Саратовской области,МАДОУ детский сад № 2,
94,205,205041,Муниципальное автономное дошкольное образовательное учреждение - детский сад компенсирующего вида №3 «Радуга» г. Балаково Саратовской области,МАДОУ детский сад №3,
95,205,205051,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад № 4» г. Балаково Саратовской области,МАДОУ детский сад № 4,
96,205,205061,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида №5 «Умка» г.Балаково Саратовской области,МАДОУ детский сад №5,
97,205,205071,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 6 «Тополёк» г. Балаково Саратовской области,МАДОУ детский сад № 6,
98,205,205081,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 7 «Улыбка» г. Балаково Саратовской области,МАДОУ детский сад № 7,
99,205,205091,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 8» г. Балаково Саратовской области,МАДОУ детский сад № 8,
100,205,205101,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 9» г. Балаково Саратовской области,МАДОУ детский сад № 9,
101,205,205121,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 11 «Сказка» г. Балаково Саратовской области,МАДОУ детский сад № 11,
102,205,205131,"Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 12 «Журавушка»
г. Балаково Саратовской области",МАДОУ детский сад № 12,
103,205,205141,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 13 «Жемчужинка» г. Балаково Саратовской области,МАДОУ Детский сад № 13,
104,205,205161,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 18 «Малыш» г. Балаково Саратовской области,МАДОУ детский сад № 18 ,
105,205,205171,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 22 «Ладушки» г. Балаково Саратовской области,МАДОУ детский сад № 22,
106,205,205181,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 24 «Непоседы» г. Балаково Саратовской области,МАДОУ детский сад № 24,
107,205,205191,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 33» г. Балаково Саратовской области,МАДОУ детский сад № 33,
108,205,205201,Муниципальное автономное дошкольное образовательное учреждение - детский сад № 34 «Теремок» г. Балаково Саратовской области,МАДОУ детский сад № 34,
109,205,205211,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 38 «Совёнок» г. Балаково Саратовской области,МАДОУ детский сад № 38,
110,205,205221,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 39 «Солнышко» г. Балаково Саратовской области,МАДОУ Детский сад № 39,
111,205,205231,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 41 «Березка» г. Балаково Саратовской области,МАДОУ детский сад №41,
112,205,205241,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 50 «Тополек» г. Балаково Саратовской области,МАДОУ детский сад № 50,
113,205,205251,Муниципальное автономное дошкольное образовательное учреждение «Детский сад № 56» г. Балаково Саратовской области,МАДОУ детский сад № 56,
114,205,205281,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 62 «Золотая рыбка» г.Балаково Саратовской области,МАДОУ детский сад № 62,
115,205,205291,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад № 64» г. Балаково Саратовской области,МАДОУ детский сад № 64,
116,205,205301,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад № 65» г. Балаково Саратовской области,МАДОУ детский сад № 65,
117,205,205311,Муниципальное автономное дошкольное образовательное учреждение «Центр развития ребенка - детский сад № 70 «Теремок» г. Балаково Саратовской области,МАДОУ ЦРР - детский сад № 70 ,
118,205,205321,Муниципальное автономное дошкольное образовательное учреждение «Детский сад комбинированного вида № 72 «Родничок» г. Балаково Саратовской области,МАДОУ детский сад № 72 «Родничок»,
119,205,205351,Муниципальное автономное дошкольное образовательное учреждение - детский сад №14 г.Балаково Саратовской области,МАДОУ детский сад №14,
120,205,205371,Муниципальное автономное дошкольное образовательное учреждение - детский сад села Маянга Балаковского района Саратовской области,МАДОУ с. Маянга,
121,205,205381,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад №16 «Ромашка» г. Балаково Саратовской области,МАДОУ детский сад №16,
122,205,205421,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад №17 «Затейники» г.Балаково Саратовской области,МАДОУ детский сад №17,
123,205,205451,Муниципальное автономное дошкольное образовательное учреждение - детский сад №23 г.Балаково Саратовской области,МАДОУ детский сад №23,
124,205,205461,Муниципальное автономное дошкольное образовательное учреждение - детский сад №35 г.Балаково Саратовской области,МАДОУ детский сад №35,
125,205,205471,Муниципальное автономное дошкольное образовательное учреждение - детский сад №67 г.Балаково Саратовской области,МАДОУ детский сад №67,
126,205,205481,Муниципальное автономное дошкольное образовательное учреждение - детский сад №19 «Светлячок» г. Балаково Саратовской области,МАДОУ детский сад №19 «Светлячок»,
127,205,205491,Муниципальное автономное дошкольное образовательное учреждение  «Детский сад №20 «Олимпийская сказка» г.Балаково Саратовской области,МАДОУ детский сад №20,
128,205,205501,Муниципальное автономное дошкольное образовательное учреждение «Центр развития ребенка - детский сад «Страна чудес» г. Балаково Саратовской области»,МАДОУ Центр развития ребенка,
129,205,205013,Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа №2» г. Балаково Саратовской области,МАОУ СОШ №2,
130,205,205023,Муниципальное автономное общеобразовательное учреждение «Средняя общеобразовательная школа №3» г. Балаково Саратовской области,МАОУ СОШ №3,
